// Compost colors for appex. You may add your own colors, change existing ones, or remove colors that aren't needed.
experience_cell_housing, #94cfae
experience_storage_cell_16k, #96e1c2
experience_storage_cell_1k, #97d6cd
experience_storage_cell_256k, #a0e6af
experience_storage_cell_4k, #a5e0d0
experience_storage_cell_64k, #90ddb4
portable_experience_cell_16k, #a1dcb1
portable_experience_cell_1k, #a1dcb1
portable_experience_cell_256k, #a1dcb1
portable_experience_cell_4k, #a1dcb1
portable_experience_cell_64k, #a1dcb1
