// Compost colors for appliedcreate. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_stress_circuit_board, #fffae7
advanced_stress_processor, #dcd9dd
andesite_stress_cell_housing, #a79783
brass_pattern_provider_upgrade, #e3ab5b
brass_stress_cell_housing, #b58744
creative_stress_cell, #c89ac6
stress_circuit_board, #f5feff
stress_processor, #d7dae4
stress_storage_cell_16k, #a0c6b4
stress_storage_cell_16m, #afb879
stress_storage_cell_1k, #a2b1c6
stress_storage_cell_1m, #b1a48c
stress_storage_cell_256k, #b1ca94
stress_storage_cell_256m, #bfbe5a
stress_storage_cell_4k, #bbc2cc
stress_storage_cell_4m, #c9b491
stress_storage_cell_64k, #96be9b
stress_storage_cell_64m, #a4af5f
stress_storage_component_16k, #bbcad2
stress_storage_component_16m, #c5c5b6
stress_storage_component_1k, #ffffff
stress_storage_component_1m, #ffffff
stress_storage_component_256k, #c6d6ca
stress_storage_component_256m, #d3cfae
stress_storage_component_4k, #ffffff
stress_storage_component_4m, #fffffa
stress_storage_component_64k, #b6d0ca
stress_storage_component_64m, #c3c8ac
