// Compost colors for minformax. You may add your own colors, change existing ones, or remove colors that aren't needed.
aether_ingot, #b8c0c9
amanita_ingot, #89ffae
analyzer, #46b4cc
auto_smelting_upgrade, #a866da
chaos_shard, #ffffff
compressing_upgrade, #a866da
extra_drop_upgrade_tier1, #ffabde
extra_drop_upgrade_tier2, #6ccdff
extra_drop_upgrade_tier3, #96ffb2
extra_drop_upgrade_tier4, #ffff4b
fortune_upgrade_tier1, #ffabde
fortune_upgrade_tier2, #6ccdff
fortune_upgrade_tier3, #96ffb2
fortune_upgrade_tier4, #ffff4b
frozen_core, #6e868c
frozen_crystal, #474d52
heliodor_ingot, #ffff00
inverted_upgrade, #a866da
linker, #979696
memory_shard, #ff4b57
processing_upgrade_tier1, #ffabde
processing_upgrade_tier2, #6ccdff
processing_upgrade_tier3, #96ffb2
processing_upgrade_tier4, #ffff4b
quantum_foam, #ff69ac
quantum_ingot, #ffa0d4
speed_upgrade_tier1, #ffabde
speed_upgrade_tier2, #6ccdff
speed_upgrade_tier3, #96ffb2
speed_upgrade_tier4, #ffff4b
ultimate_ingot, #9441de
ultimate_processing_upgrade, #a866da
ultimate_speed_upgrade, #a866da
void_ingot, #2537
watering_upgrade, #a866da
yinmin_ingot, #40c0ff
