// Compost colors for occultengineering. You may add your own colors, change existing ones, or remove colors that aren't needed.
book_of_binding_puca, #be734b
brass_dust, #f2ac6b
chalk_brass, #ffe39d
chalk_brass_impure, #b1936b
chalk_copper, #ffa716
chalk_copper_impure, #98653a
chalk_zinc, #bfe8cd
chalk_zinc_impure, #7d917c
combined_goggles, #c6c0d7
empty_pentacle_schematic, #ff768a
encyclopedia_of_souls, #989661
mechanical_upgrade_afrit, #76795f
mechanical_upgrade_djinni, #70657c
mechanical_upgrade_empty, #5e5e5e
mechanical_upgrade_marid, #617261
pentacle_schematic, #f1798d
phlogiston, #914344
ritual_dummy_craft_mechanical_chamber, #9da4b9
ritual_dummy_craft_mechanical_upgrade_afrit, #9da4b9
ritual_dummy_craft_mechanical_upgrade_djinni, #9da4b9
ritual_dummy_craft_mechanical_upgrade_marid, #9da4b9
ritual_dummy_craft_otherworld_detector, #9da4b9
ritual_dummy_craft_phlogiport, #9da4b9
silver_phlogistate, #eabb9e
spirit_solution_bucket, #b89ec2
sterling_silver_ingot, #d6e7f4
sterling_silver_nugget, #e7f7ff
zinc_dust, #8ab2a0
